mismatches	Causallcall	Guppy-fast	Bonito	RUBICON
Acinetobacter pittii 16-377-0801	18221827	15056986	11588985	11418588
Haemophilus haemolyticus M1C132_1	261858	9965460	8242611	8386702
Klebsiella pneumoniae INF032	84127044	81093359	65409674	63627057
Klebsiella pneumoniae INF042	89886061	86978047	69755648	68487981
Klebsiella pneumoniae KSB2_1B	66655053	65300061	51884418	51179592
Klebsiella pneumoniae NUH29	43583555	37539418	30692808	30285786
Serratia marcescens 17-147-1671	16118472	17719828	13824299	13455573
Staphylococcus aureus CAS38_02	35780855	24451119	18420398	18501870
Stenotrophomonas maltophilia 17_G_0092_Kos	93210703	80445640	65477614	63842395
AVG	49760603.11	46505546.44	37255161.67	36576171.56
