reads_mapped	Causallcall	Guppy-fast	Bonito	RUBICON
Acinetobacter pittii 16-377-0801	4434	4457	4452	4452
Haemophilus haemolyticus M1C132_1	104	6201	6444	6287
Klebsiella pneumoniae INF032	15150	15152	15147	15153
Klebsiella pneumoniae INF042	11236	11273	11252	11268
Klebsiella pneumoniae KSB2_1B	16642	16803	16744	16783
Klebsiella pneumoniae NUH29	14954	15152	15056	15113
Serratia marcescens 17-147-1671	12729	16715	16667	16696
Staphylococcus aureus CAS38_02	11038	11047	11047	11047
Stenotrophomonas maltophilia 17_G_0092_Kos	15946	15997	15959	15980
AVG	11359.22222	12533	12529.77778	12531
